,gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
1141,female,18,first,brown,72.0,100.0,0,1,15.0,Yes,4.0,100.0,0.0,20.0
1039,male,20,second,hazel,72.0,35.0,0,1,4.0,Yes,7.0,120.0,12.0,25.0
1743,male,21,fourth,blue,72.0,169.0,1,1,5.0,Yes,12.0,28.0,2.0,15.0
2050,female,19,second,brown,62.0,110.0,0,1,5.0,No,0.0,30.0,1.0,10.0
1430,female,25,other,blue,65.0,40.0,0,1,24.0,No,0.0,50.0,2.0,10.0
585,female,21,third,brown,64.0,50.0,1,3,2.0,No,0.0,100.0,0.0,5.0
852,female,25,other,brown,62.0,1035.6,0,2,10.0,No,0.0,100.0,0.0,20.0
843,female,20,third,blue,61.0,35.0,1,0,3.0,No,0.0,30.0,0.0,8.0
1562,male,20,second,blue,73.0,45.0,1,1,8.0,No,0.0,50.0,3.0,10.0
533,male,21,fourth,brown,70.0,1400.0,1,0,12.0,Yes,8.0,4.0,5.0,8.0
420,male,23,other,blue,73.0,150.0,3,2,3.0,No,0.0,575.0,1.0,6.0
1926,male,32,third,blue,62.0,50.0,1,1,5.0,No,0.0,50.0,2.0,15.0
103,female,27,fourth,blue,63.0,2000.0,1,1,8.0,Yes,6.0,27.0,0.0,7.0
1188,female,19,second,brown,64.0,120.0,2,0,20.0,No,0.0,40.0,0.0,15.0
1564,male,20,second,blue,71.0,50.0,1,1,5.0,Yes,4.0,30.0,15.0,15.0
1530,female,18,second,hazel,68.0,699.0,2,0,6.0,No,0.0,30.0,2.0,7.0
1912,female,21,fourth,hazel,67.0,0.0,2,0,18.0,Yes,3.0,130.0,2.0,10.0
1406,male,20,second,brown,76.0,120.0,1,1,4.0,No,0.0,21.0,20.0,20.0
1531,male,18,first,brown,70.0,30.0,1,1,5.0,Yes,4.0,8.0,8.0,16.0
392,female,22,fourth,green,64.0,180.0,2,0,3.0,No,0.0,50.0,0.0,12.0
1420,female,18,first,brown,66.0,450.0,0,1,20.0,No,0.0,75.0,0.0,10.0
649,female,21,third,blue,66.0,150.0,1,0,20.0,Yes,2.0,100.0,1.0,7.0
1175,male,20,third,green,67.0,190.0,2,0,28.0,Yes,7.0,10.0,1.0,7.0
1624,female,19,second,blue,64.0,90.0,0,1,10.0,Yes,9.0,25.0,0.0,5.0
1573,male,19,second,brown,76.0,137.0,0,2,20.0,Yes,4.0,75.0,8.0,12.0
900,male,20,third,green,72.0,150.0,0,1,10.0,Yes,10.0,11.0,3.0,7.0
167,female,20,third,blue,67.0,138.0,0,2,6.0,No,0.0,79.0,0.0,15.0
1465,female,21,fourth,blue,61.0,200.0,2,0,12.0,Yes,3.0,70.0,5.0,5.0
1399,female,18,first,blue,69.0,105.0,1,2,10.0,Yes,7.0,21.0,0.0,0.0
206,male,18,first,blue,73.0,90.0,1,1,15.0,No,0.0,30.0,0.0,10.0
248,male,22,fourth,other,72.0,180.0,3,0,2.0,Yes,3.0,120.0,3.0,28.0
2056,female,19,first,blue,65.0,120.0,1,0,3.0,No,0.0,48.0,2.0,4.0
1868,female,20,third,blue,71.0,120.0,1,2,10.0,Yes,4.5,50.0,1.0,6.0
1288,male,24,third,green,76.0,0.0,0,3,25.0,Yes,4.0,100.0,3.0,18.0
563,male,18,first,blue,68.0,25.0,1,1,12.0,No,0.0,20.0,21.0,15.0
1504,male,22,other,blue,66.0,45.0,2,2,12.0,Yes,7.0,300.0,0.0,8.0
1278,female,20,third,brown,62.0,5000.0,2,1,5.0,No,0.0,40.0,5.0,5.0
1115,male,21,third,green,72.0,60.0,0,1,5.0,No,0.0,30.0,10.0,10.0
1856,female,22,fourth,blue,65.0,140.0,0,1,6.0,No,0.0,40.0,0.0,4.0
430,male,20,third,green,75.0,176.0,1,2,21.0,Yes,5.0,0.0,1.0,14.0
319,male,21,third,hazel,72.0,115.0,1,1,15.0,Yes,8.0,100.0,15.0,10.0
1616,male,20,third,blue,70.0,60.0,2,0,3.0,Yes,3.0,5.0,10.0,5.0
1663,male,21,fourth,brown,72.0,0.0,2,1,20.0,Yes,0.0,2.0,45.0,20.0
716,female,19,second,brown,64.0,100.0,1,1,14.0,Yes,6.0,40.0,0.0,5.0
124,female,20,second,green,64.0,215.0,0,0,5.0,Yes,25.0,200.0,0.5,2.0
881,male,22,fourth,hazel,72.0,158.0,1,0,12.0,Yes,0.0,300.0,0.0,2.0
1493,male,19,second,hazel,68.0,30.0,1,1,10.0,Yes,5.0,20.0,40.0,15.0
706,male,22,other,green,73.0,0.0,0,0,15.0,No,0.0,40.0,2.0,1.0
1886,male,20,second,brown,78.0,220.0,1,1,15.0,No,0.0,10.0,2.0,8.0
770,female,22,other,brown,66.0,100.0,0,1,7.5,No,0.0,30.0,7.5,1.0
277,female,21,fourth,brown,70.0,60.0,1,3,10.0,No,0.0,30.0,1.0,3.0
1227,male,20,third,blue,75.0,400.0,4,1,1.0,Yes,6.0,250.0,5.0,10.0
233,female,19,second,brown,68.0,155.0,0,0,3.0,Yes,12.0,25.0,0.0,15.0
449,female,20,second,green,68.0,0.0,0,1,20.0,Yes,3.0,84.0,0.0,4.0
55,female,19,second,brown,62.0,30.0,4,2,10.0,No,0.0,10.0,0.0,20.0
2057,male,20,second,blue,77.0,120.0,1,0,7.0,Yes,7.0,0.0,5.0,15.0
500,female,20,third,hazel,68.0,99.6,1,0,30.0,No,0.0,120.0,10.0,21.0
1671,male,19,second,blue,72.0,35.0,0,2,15.0,Yes,8.0,100.0,2.0,3.0
1687,male,19,second,brown,71.0,35.0,1,0,10.0,Yes,3.0,21.0,7.0,3.0
827,female,20,second,green,62.0,0.0,1,0,10.0,Yes,2.0,25.0,0.0,5.0
1068,male,22,other,hazel,72.0,400.0,0,1,4.0,Yes,4.0,200.0,6.0,17.0
732,female,19,second,brown,68.0,35.0,1,1,7.0,Yes,6.0,30.0,2.0,13.0
1581,female,19,second,green,61.0,1500.0,2,1,25.0,No,0.0,75.0,0.0,10.0
33,female,21,third,blue,63.0,0.0,2,3,10.0,No,0.0,50.0,0.5,8.0
1608,female,22,other,brown,60.0,1044.0,2,2,10.0,No,0.0,100.0,0.0,20.0
596,female,21,third,brown,67.0,30.0,0,2,8.0,Yes,4.0,128.0,0.0,2.0
1929,male,23,fourth,blue,71.0,236.0,1,1,8.0,No,0.0,40.0,10.0,4.0
2062,male,20,third,blue,76.0,154.0,1,1,10.0,No,0.0,20.0,18.0,5.0
1236,male,22,fourth,hazel,70.0,45.0,2,3,20.0,No,0.0,100.0,10.0,10.0
1354,male,20,second,hazel,76.0,100.0,0,1,2.0,Yes,4.0,14.0,14.0,28.0
150,male,21,third,brown,69.0,200.0,1,2,4.0,No,0.0,100.0,7.0,20.0
1943,male,18,first,brown,61.0,352.0,0,1,35.0,No,0.0,30.0,10.0,4.0
632,female,19,second,blue,70.0,50.0,1,2,15.0,Yes,4.0,75.0,0.0,4.0
1112,female,33,other,green,64.0,90.0,2,0,10.0,Yes,4.0,20.0,0.0,4.0
411,female,22,other,brown,70.0,150.0,1,1,8.0,No,0.0,150.0,0.0,2.0
952,male,19,first,green,73.0,30.0,0,1,3.0,No,0.0,20.0,16.0,4.0
173,female,20,third,green,64.0,200.0,1,1,25.0,Yes,6.0,40.0,0.5,14.0
702,male,19,second,blue,71.0,180.0,0,1,14.0,Yes,9.0,60.0,10.0,21.0
1941,male,20,second,hazel,75.0,162.0,1,0,10.0,Yes,5.0,5.0,1.0,2.0
252,female,22,fourth,other,65.0,75.0,0,2,5.0,Yes,5.0,30.0,0.0,7.0
497,male,20,third,brown,70.0,118.0,2,0,20.0,No,0.0,100.0,2.0,3.0
682,male,21,fourth,brown,72.0,300.0,1,0,10.0,Yes,10.0,200.0,3.0,15.0
1350,female,20,third,hazel,68.0,180.0,0,1,3.0,Yes,3.0,30.0,1.0,8.0
968,female,21,fourth,blue,67.0,35.0,0,2,12.0,Yes,6.0,50.0,0.0,12.0
412,female,21,fourth,green,66.0,50.0,4,1,5.0,Yes,3.0,25.0,1.0,1.0
731,male,18,first,blue,72.0,100.0,1,1,10.0,Yes,4.0,100.0,35.0,35.0
1298,female,21,third,brown,64.0,60.0,0,1,5.0,No,0.0,30.0,1.0,10.0
802,female,19,second,blue,67.0,80.0,1,2,15.0,Yes,5.0,25.0,1.0,15.0
1484,male,20,third,brown,72.0,60.0,1,0,10.0,Yes,8.0,150.0,1.0,7.0
1218,male,27,third,blue,71.0,180.0,1,0,7.0,No,0.0,50.0,0.0,12.0
1177,female,22,fourth,brown,62.0,175.0,1,0,2.0,Yes,3.0,80.0,0.0,8.0
1601,female,20,third,brown,65.0,16.0,1,1,7.0,No,0.0,250.0,0.0,15.0
189,female,41,first,hazel,69.0,10.0,2,1,6.0,Yes,6.0,200.0,2.0,6.0
1888,male,18,first,blue,74.0,60.0,0,2,10.0,Yes,5.0,10.0,3.0,15.0
140,female,20,second,other,63.0,13000.0,2,1,20.0,No,0.0,10.0,0.0,2.0
2018,female,19,second,blue,52.0,0.0,2,1,4.0,Yes,4.0,200.0,1.0,4.0
1725,male,19,second,blue,70.0,40.0,2,0,10.0,Yes,6.0,48.0,5.0,10.0
402,male,22,other,blue,72.0,366.0,2,0,15.0,Yes,10.0,1500.0,5.0,15.0
1585,female,21,fourth,blue,64.0,171.0,0,1,15.0,No,0.0,70.0,0.0,10.0
1664,male,19,second,blue,70.0,45.0,1,0,10.0,No,0.0,70.0,0.0,12.0
1352,male,21,third,green,72.0,70.0,1,1,12.0,Yes,3.0,50.0,3.0,24.0
289,female,21,third,blue,68.0,75.0,1,0,4.0,Yes,5.0,30.0,0.0,7.0
26,male,23,fourth,brown,74.0,160.0,2,1,20.0,No,0.0,60.0,15.0,40.0
862,female,20,second,blue,69.0,190.0,1,0,7.0,Yes,3.0,250.0,2.0,10.0
676,male,21,fourth,brown,70.0,375.0,0,2,4.0,Yes,8.0,150.0,2.0,10.0
1434,male,21,second,brown,68.0,40.0,0,2,4.0,Yes,10.0,15.0,6.0,4.0
231,male,21,third,hazel,71.0,180.0,0,1,12.0,Yes,5.0,20.0,1.0,12.0
415,female,19,second,green,64.0,75.0,1,1,14.0,Yes,3.0,25.0,0.0,4.0
1882,male,21,second,blue,70.0,175.0,2,2,5.0,No,0.0,50.0,3.0,5.0
134,male,20,second,hazel,68.0,45.0,0,2,1.5,No,0.0,80.0,2.0,9.0
1461,female,26,third,blue,67.0,45.0,1,1,14.0,No,0.0,115.0,0.0,21.0
145,male,21,third,hazel,73.0,50.0,1,1,5.0,Yes,8.0,100.0,5.0,4.0
458,female,20,third,blue,66.0,1200.0,0,0,10.0,Yes,5.0,100.0,5.0,10.0
197,male,21,third,blue,70.0,250.0,0,2,10.0,Yes,10.0,50.0,0.0,2.0
1347,female,20,second,brown,64.0,120.0,1,3,8.0,Yes,7.0,100.0,0.0,10.0
1024,male,19,second,brown,66.0,109.0,2,3,10.0,Yes,4.0,12.0,20.0,20.0
1909,female,22,fourth,blue,65.0,210.0,0,1,20.0,Yes,5.0,10.0,0.0,5.0
280,female,18,first,brown,65.0,1200.0,2,2,20.0,No,0.0,50.0,3.0,3.0
1922,female,20,second,brown,63.0,90.0,0,2,4.0,No,0.0,23.0,1.0,2.5
2035,male,19,first,green,77.0,36.0,0,1,8.0,No,0.0,75.0,9.0,3.0
993,female,20,second,hazel,64.0,1400.0,0,1,4.0,Yes,5.0,50.0,1.0,6.0
1379,female,20,third,blue,69.0,210.0,1,0,12.0,No,0.0,10.0,0.5,10.0
908,female,18,first,blue,68.0,130.0,0,1,5.0,Yes,7.0,7.0,0.0,2.0
791,male,20,second,brown,76.0,184.0,1,2,15.0,Yes,4.0,20.0,5.0,25.0
543,male,21,third,blue,69.0,100.0,1,1,1.0,Yes,5.0,50.0,0.0,2.0
1321,male,22,third,brown,74.0,175.0,0,1,8.0,Yes,6.0,120.0,1.0,7.0
696,male,21,fourth,brown,70.0,200.0,0,1,5.0,No,0.0,40.0,5.0,5.0
831,female,22,fourth,brown,63.0,0.0,1,0,3.0,Yes,1.0,60.0,0.0,20.0
202,male,21,third,blue,73.0,200.0,1,1,2.0,Yes,6.0,5.0,2.0,20.0
743,female,20,second,blue,69.0,113.0,1,0,20.0,No,0.0,50.0,4.0,8.0
1891,male,21,fourth,brown,72.0,22.5,1,4,5.0,Yes,6.0,75.0,10.0,8.0
1680,female,19,second,hazel,68.0,110.0,0,0,30.0,Yes,8.0,10.0,0.0,15.0
962,female,19,second,blue,70.0,250.0,1,0,10.0,Yes,5.0,100.0,0.0,7.0
423,female,22,other,blue,65.0,400.0,0,1,10.0,No,0.0,600.0,0.0,0.0
397,male,20,third,blue,74.0,240.0,1,1,2.0,Yes,4.0,50.0,4.0,4.0
1235,male,20,second,brown,75.0,300.0,1,3,6.0,No,0.0,0.0,3.0,3.0
1456,male,19,second,brown,70.0,226.0,0,1,12.5,Yes,7.5,100.0,0.0,2.0
1471,female,20,third,blue,69.0,200.0,2,1,5.0,Yes,12.0,30.0,15.0,7.0
442,female,20,third,blue,60.0,90.0,0,4,20.0,Yes,7.0,150.0,0.0,2.0
1233,female,19,first,blue,64.0,411.0,0,1,12.0,Yes,3.0,100.0,0.0,12.0
804,female,20,third,brown,66.0,45.0,4,2,40.0,Yes,5.0,10.0,3.0,8.0
853,male,21,third,hazel,71.0,84.0,1,2,10.0,Yes,5.0,12.0,4.0,2.0
78,male,20,second,blue,75.0,190.0,2,0,10.0,No,0.0,55.0,10.0,1.0
877,male,21,fourth,blue,75.0,40.0,0,0,5.0,Yes,7.0,18.0,2.0,15.0
1183,male,20,third,hazel,72.0,0.0,3,0,5.0,Yes,6.0,50.0,3.0,7.0
1176,female,20,second,brown,63.0,70.0,2,2,5.0,No,0.0,30.0,0.0,3.0
77,male,21,third,blue,71.0,95.0,1,0,10.0,Yes,8.0,30.0,5.0,10.0
1202,female,19,second,blue,68.0,204.0,2,1,48.0,Yes,3.0,10.0,0.0,10.0
729,female,20,second,blue,63.0,60.0,0,2,10.0,Yes,1.0,35.0,1.0,7.0
1769,female,20,third,brown,63.0,380.0,2,0,12.0,Yes,6.0,50.0,0.0,35.0
684,male,20,third,blue,74.0,208.0,1,1,10.0,Yes,9.0,120.0,1.0,4.0
223,female,20,third,blue,65.0,300.0,1,1,4.0,Yes,4.0,30.0,10.0,5.0
1152,female,19,first,hazel,68.0,0.0,2,0,6.0,Yes,7.0,100.0,0.0,2.0
629,female,20,third,brown,67.0,60.0,1,0,10.0,Yes,4.0,40.0,1.0,2.0
1499,male,19,second,blue,73.0,180.0,2,1,5.0,Yes,10.0,20.0,10.0,5.0
66,male,21,third,hazel,75.0,210.0,0,0,7.0,No,0.0,26.0,10.0,10.0
701,female,20,third,green,63.0,120.0,1,1,15.0,Yes,6.0,40.0,0.0,10.0
609,female,20,third,hazel,70.0,210.0,0,1,7.0,No,0.0,50.0,0.5,5.0
1107,female,21,fourth,blue,67.0,125.0,1,0,20.0,Yes,1.0,10.0,0.0,15.0
1533,female,20,third,other,65.0,190.0,1,0,14.0,Yes,6.0,100.0,0.0,3.0
160,male,22,other,green,72.0,50.0,2,0,15.0,Yes,5.0,45.0,3.0,6.0
1022,female,24,other,green,65.0,30.0,0,2,18.0,No,0.0,50.0,0.0,8.0
108,female,20,second,green,65.0,160.0,5,6,3.0,Yes,0.0,30.0,0.5,12.0
723,female,21,fourth,hazel,67.0,240.0,1,1,20.0,Yes,3.0,30.0,2.0,5.0
1990,female,22,fourth,blue,65.0,90.0,1,3,12.0,Yes,4.5,90.0,0.0,40.0
91,male,21,second,brown,69.0,8587.2,1,0,20.0,Yes,6.0,0.0,6.0,2.0
1979,male,25,fourth,blue,75.0,140.0,3,1,25.0,No,0.0,100.0,0.0,9.0
312,male,21,third,blue,71.0,45.0,1,0,10.0,Yes,20.0,80.0,4.0,5.0
1684,female,20,third,blue,66.0,115.0,2,2,64.0,Yes,3.0,25.0,0.0,3.0
767,female,27,other,blue,62.0,175.0,2,0,20.0,Yes,5.0,35.0,2.0,10.0
1003,male,25,other,brown,76.0,99.0,2,1,10.0,Yes,7.0,200.0,5.0,15.0
714,female,23,fourth,green,69.0,120.0,0,1,3.0,Yes,3.0,100.0,3.0,3.0
1682,male,21,third,hazel,74.0,50.0,2,3,16.0,Yes,8.0,5.0,25.0,14.0
1846,female,20,third,brown,66.0,32.0,0,1,2.0,Yes,3.0,100.0,7.0,4.0
109,female,24,other,blue,64.0,100.0,1,0,4.0,No,0.0,133.0,0.0,10.0
1726,male,20,third,blue,74.0,115.0,0,1,4.0,Yes,7.0,75.0,0.0,2.0
1146,female,19,second,blue,68.0,30.0,3,0,40.0,Yes,6.0,50.0,0.0,0.0
163,female,20,third,blue,62.0,65.0,1,1,15.0,Yes,4.0,10.0,0.0,10.0
1163,male,20,second,brown,72.0,150.0,1,1,25.0,Yes,4.0,100.0,10.0,25.0
1396,male,21,third,green,72.0,30.0,1,1,2.0,Yes,5.0,100.0,0.0,2.0
465,female,20,third,hazel,65.0,90.0,1,1,18.0,Yes,0.0,40.0,0.0,2.0
1548,male,19,second,brown,77.0,60.0,1,2,20.0,Yes,5.0,30.0,2.0,10.0
313,male,21,third,blue,68.0,70.0,1,0,8.0,Yes,12.0,100.0,2.0,10.0
310,male,23,third,blue,75.0,90.0,1,1,5.0,Yes,5.0,0.0,10.0,25.0
1108,female,19,third,green,66.0,350.0,0,2,20.0,No,0.0,30.0,2.0,10.0
1540,male,19,second,hazel,76.0,300.0,0,1,8.0,No,0.0,140.0,5.0,8.0
1919,female,23,other,blue,70.0,175.0,1,1,14.0,Yes,2.0,40.0,0.0,15.0
940,male,19,second,blue,69.0,200.0,1,0,12.0,Yes,5.0,19.0,7.0,4.0
80,female,19,second,green,67.0,150.0,1,5,4.0,Yes,3.0,200.0,0.0,3.0
303,female,19,second,blue,64.0,40.0,1,0,15.0,No,0.0,32.0,0.0,0.0
358,female,22,fourth,blue,65.0,12.0,1,0,5.0,Yes,4.0,35.0,0.0,4.0
1645,female,19,second,brown,66.0,177.0,1,0,20.0,Yes,7.0,5.0,0.0,1.0
1366,male,20,second,hazel,69.0,0.0,0,2,18.0,Yes,5.0,40.0,3.0,15.0
1988,female,20,third,blue,64.0,27.0,1,2,20.0,Yes,2.0,35.0,0.0,2.0
27,male,24,other,blue,72.0,180.0,2,2,2.0,Yes,7.0,100.0,7.0,21.0
1433,male,20,third,blue,71.0,160.0,1,0,24.0,Yes,3.0,50.0,1.0,7.0
187,female,21,fourth,blue,65.0,150.0,0,1,10.0,No,0.0,60.0,1.0,15.0
1771,female,20,third,brown,65.0,230.0,2,0,15.0,Yes,7.0,25.0,0.0,14.0
790,female,18,first,blue,66.0,140.0,1,3,5.0,Yes,2.0,20.0,10.0,0.0
6,male,37,third,brown,74.0,511.0,1,1,3.0,No,0.0,50.0,3.0,8.0
984,female,23,third,brown,66.0,215.0,1,0,5.0,Yes,4.0,200.0,5.0,2.0
1264,male,19,second,brown,73.0,500.0,0,1,20.0,Yes,8.0,0.0,0.0,2.0
930,male,20,second,other,72.0,200.0,1,1,10.0,No,0.0,32.0,5.0,5.0
1602,female,20,second,blue,65.0,170.0,1,3,14.0,No,0.0,50.0,0.0,24.0
335,female,20,second,brown,68.0,30.0,0,3,10.0,No,0.0,20.0,2.0,4.0
213,male,20,third,blue,69.0,190.0,0,1,15.0,Yes,8.5,112.0,1.0,15.0
451,male,20,third,blue,71.0,450.0,1,1,7.0,No,0.0,30.0,0.0,9.0
1428,female,24,fourth,blue,66.0,750.0,0,1,10.0,No,0.0,300.0,0.0,6.0
183,female,18,first,blue,67.0,30.0,1,1,20.0,No,0.0,100.0,0.0,3.0
1977,male,21,third,blue,68.0,110.0,1,3,10.0,Yes,7.0,50.0,0.0,9.0
1490,female,19,second,blue,59.0,80.0,2,0,2.0,No,0.0,13.0,7.0,15.0
1630,female,21,fourth,blue,65.0,180.0,1,1,10.0,Yes,4.0,20.0,0.0,2.0
191,female,20,second,brown,67.0,175.0,2,1,15.0,Yes,6.0,45.0,1.0,8.0
545,male,24,third,green,73.0,350.0,2,1,5.0,Yes,10.0,45.0,2.0,1.0
12,male,29,other,brown,69.0,244.0,1,1,5.0,No,0.0,100.0,20.0,20.0
1442,male,21,fourth,blue,73.0,20.0,2,0,10.0,No,0.0,76.0,20.0,10.0
1683,male,19,second,blue,71.0,20.0,1,1,15.0,Yes,4.0,100.0,5.0,12.0
879,female,18,first,blue,68.0,250.0,1,0,20.0,No,0.0,20.0,7.0,30.0
72,male,21,third,blue,75.0,170.0,1,1,5.0,Yes,2.0,6.0,1.0,5.0
1099,female,19,second,blue,62.0,120.0,1,0,15.0,Yes,4.0,50.0,3.0,2.0
1830,female,19,first,hazel,61.0,180.0,2,0,10.0,No,0.0,25.0,0.0,15.0
994,female,21,fourth,brown,63.0,385.0,0,1,6.0,Yes,4.0,75.0,0.0,3.0
1512,male,19,second,hazel,71.0,371.0,0,1,15.0,Yes,12.0,500.0,0.0,6.0
957,female,20,second,blue,72.0,230.0,2,0,6.0,No,0.0,90.0,1.0,1.0
694,male,21,other,hazel,72.0,93.0,1,0,20.0,Yes,4.5,10.0,4.0,10.0
1032,female,18,first,green,65.0,1700.0,0,0,12.0,Yes,8.0,45.0,0.0,4.0
1809,male,22,fourth,brown,75.0,182.0,2,1,24.0,No,0.0,104.0,1.0,3.0
1799,female,20,third,blue,62.0,184.0,1,0,6.0,Yes,6.0,100.0,1.0,10.0
569,female,20,third,green,72.0,250.0,1,1,1.0,No,0.0,20.0,1.0,12.0
692,male,25,fourth,blue,74.0,125.0,1,2,8.0,Yes,8.0,0.0,1.0,12.0
1921,male,20,third,green,75.0,45.0,4,1,20.0,Yes,7.0,10.0,10.0,20.0
1376,male,21,fourth,other,69.0,20.0,1,0,20.0,Yes,6.0,20.0,20.0,80.0
1503,female,23,third,other,63.0,6500.0,1,0,30.0,No,0.0,30.0,0.0,14.0
1699,male,31,other,green,76.0,30.0,1,2,15.0,Yes,20.0,100.0,5.0,0.0
971,female,20,third,blue,67.0,20.0,0,1,7.0,No,0.0,65.0,0.0,14.0
557,male,19,second,other,71.0,40.0,3,1,3.0,Yes,8.0,10.0,2.0,10.0
1658,female,21,fourth,hazel,64.0,25.0,1,2,15.0,Yes,4.0,25.0,0.0,15.0
1785,female,19,second,brown,65.0,160.0,1,2,6.0,Yes,5.0,10.0,0.0,4.0
1284,male,24,third,other,67.0,6500.0,1,0,4.0,No,0.0,10.0,5.0,3.0
1618,female,19,second,blue,64.0,65.0,3,0,4.0,Yes,4.0,40.0,1.0,3.0
784,male,20,second,blue,74.0,323.0,1,0,8.0,Yes,12.0,75.0,0.0,8.0
1400,female,28,fourth,other,66.0,6350.0,0,1,10.0,No,0.0,50.0,3.0,10.0
919,male,19,first,brown,72.0,315.0,0,2,6.0,No,0.0,10.0,5.0,10.0
1946,female,22,other,brown,67.0,130.0,4,2,8.0,Yes,5.0,50.0,2.0,30.0
315,female,22,fourth,brown,64.0,40.0,1,1,5.0,No,0.0,50.0,0.0,0.0
317,female,23,other,blue,70.0,122.0,2,1,2.5,Yes,3.5,100.0,1.5,3.5
10,male,25,fourth,blue,69.0,90.0,0,3,3.0,Yes,6.0,55.0,0.0,21.0
651,female,21,other,brown,60.0,210.0,0,1,1.0,No,0.0,150.0,0.0,15.0
674,female,21,fourth,hazel,62.0,2000.0,1,1,1.0,Yes,22.0,150.0,0.0,4.0
1357,female,19,second,brown,62.0,60.0,0,1,10.0,Yes,1.0,25.0,5.0,5.0
460,male,21,third,hazel,73.0,138.0,1,0,8.0,Yes,5.0,100.0,10.0,2.0
114,female,18,first,green,67.0,65.0,0,2,8.0,Yes,10.0,50.0,0.0,8.0
866,male,21,third,brown,75.0,90.0,2,0,1.0,Yes,6.0,50.0,4.0,15.0
1550,male,20,second,blue,73.0,200.0,1,1,6.0,Yes,6.0,25.0,1.0,4.0
297,female,18,first,green,67.0,0.0,0,0,30.0,Yes,14.0,60.0,0.0,2.0
958,male,22,fourth,green,72.0,125.0,3,0,20.0,Yes,2.0,100.0,0.5,5.0
300,male,20,third,green,71.0,180.0,0,1,5.0,Yes,3.0,40.0,1.0,4.0
1673,female,20,third,brown,62.0,230.0,1,0,3.0,No,0.0,100.0,3.0,3.0
165,female,19,first,hazel,66.0,350.0,1,0,4.0,Yes,4.0,45.0,0.0,8.0
1578,female,21,fourth,blue,68.0,400.0,1,0,25.0,Yes,5.0,30.0,0.0,5.0
523,female,20,third,blue,63.0,220.0,2,2,1.0,Yes,4.0,0.0,0.0,3.0
1502,female,20,third,brown,69.0,9000.0,0,1,44.0,No,0.0,0.0,0.0,8.0
1800,male,21,third,hazel,85.0,35.0,4,0,3.0,Yes,6.0,74.0,0.0,3.0
1421,male,19,second,brown,71.0,220.0,1,1,50.0,Yes,5.0,250.0,4.0,4.0
1036,female,19,second,hazel,69.0,240.0,0,2,4.0,Yes,14.0,24.0,2.0,2.0
1768,male,20,second,brown,70.0,90.0,2,1,10.0,Yes,8.0,50.0,9.0,9.0
742,female,18,first,brown,68.0,170.0,4,2,10.0,No,0.0,100.0,3.0,35.0
13,female,19,second,green,65.0,40.0,1,0,6.0,Yes,4.0,175.0,0.0,12.0
800,female,19,second,blue,67.0,300.0,1,1,15.0,Yes,10.0,25.0,0.0,3.0
1407,female,21,fourth,hazel,69.0,100.0,0,1,10.0,Yes,7.0,250.0,6.0,10.0
1721,female,56,other,brown,66.0,190.0,2,0,21.0,Yes,5.0,10.0,0.0,30.0
695,male,20,second,brown,72.0,212.0,3,3,2.0,Yes,3.0,20.0,1.0,2.0
1871,female,20,second,hazel,68.0,90.0,1,1,20.0,Yes,5.0,40.0,3.0,20.0
2041,female,19,second,green,70.0,180.0,1,0,10.0,Yes,0.0,30.0,0.0,5.0
1019,female,20,second,blue,68.0,90.0,1,1,2.0,No,0.0,20.0,5.0,5.0
1021,male,23,second,hazel,70.0,60.0,2,1,2.0,No,0.0,25.0,0.0,6.0
2000,male,20,third,hazel,71.0,20.0,1,2,10.0,Yes,7.0,22.0,0.0,0.0
1310,female,18,first,hazel,65.0,45.0,0,0,7.0,Yes,3.0,13.0,1.0,2.0
1268,male,21,third,hazel,64.0,180.0,1,1,15.0,No,0.0,10.0,0.0,25.0
1120,male,20,third,brown,67.0,200.0,1,0,25.0,No,0.0,10.0,1.0,10.0
82,male,20,third,blue,76.0,210.0,1,1,5.0,Yes,3.5,100.0,10.0,10.0
225,male,23,third,green,67.0,140.0,0,1,5.0,Yes,7.5,45.0,0.0,45.0
1986,male,21,third,brown,73.0,140.0,2,0,12.0,Yes,5.0,100.0,8.0,10.0
1378,male,20,second,green,69.0,140.0,3,0,12.0,Yes,2.0,5.0,0.0,2.0
639,female,20,third,hazel,60.0,250.0,0,0,6.0,Yes,3.0,100.0,1.0,5.0
1328,female,22,other,green,67.0,30.0,2,2,75.0,Yes,10.0,80.0,0.0,20.0
927,male,20,second,brown,72.0,35.0,1,0,15.0,No,0.0,115.0,45.0,35.0
1956,male,20,second,blue,73.0,0.0,1,3,5.0,Yes,8.0,20.0,0.0,1.0
1705,female,19,second,blue,69.0,100.0,1,3,15.0,Yes,10.0,50.0,0.0,2.0
1330,female,20,second,blue,64.0,40.0,1,2,10.0,Yes,3.0,40.0,0.0,20.0
546,male,23,fourth,blue,64.0,40.0,1,1,30.0,No,0.0,50.0,1.0,3.0
1139,female,19,second,hazel,66.0,240.0,0,1,50.0,No,0.0,47.0,0.0,1.0
1619,male,19,second,hazel,60.0,129.0,2,0,3.0,Yes,2.0,15.0,1.0,3.0
1312,female,19,second,blue,70.0,180.0,4,2,15.0,No,0.0,25.0,0.0,4.0
1225,male,20,second,brown,70.0,10.0,1,1,7.0,No,0.0,15.0,3.0,7.0
